image_name,labels,emotion_name
adriaen-van-ostade_the-merry-peasant,6,excitement
adriaen-van-ostade_the-painter-in-his-workshop,2,anger
adriaen-van-ostade_the-peasant-settling-his-debt,3,awe
adriaen-van-ostade_the-schoolmaster,0,painting
adriaen-van-ostade_the-singers-at-the-window,0,painting
adriaen-van-ostade_the-stall-keeper,7,fear
adriaen-van-ostade_three-peasants-at-an-inn,0,painting
adriaen-van-ostade_village-musicians,3,awe
adriaen-van-ostade_village-musicians-1,3,awe
adriaen-van-ostade_village-tavern-with-four-figures,7,fear
adriaen-van-ostade_wandering-musician,0,painting
aelbert-cuyp_a-distant-view-of-dordrecht-with-a-milkmaid-and-four-cow-1650,2,anger
aelbert-cuyp_cattle-watering-by-an-estuary,3,awe
aelbert-cuyp_flock-of-sheep-at-pasture-1655,3,awe
aelbert-cuyp_lady-and-gentleman-on-horseback-1655,3,awe
aelbert-cuyp_landscape-with-shepherds-and-flock-near-rhenen,3,awe
aelbert-cuyp_orpheus-with-animals-in-a-landscape,3,awe
aelbert-cuyp_panoramic-landscape-with-shepherds-sheep-and-a-town-in-the-distance-1644,3,awe
aelbert-cuyp_river-landscape-with-horseman-and-peasants-1660,2,anger
aelbert-cuyp_self-portrait-as-a-boy,0,painting
aelbert-cuyp_sunset-over-the-river-1655,3,awe
aelbert-cuyp_the-maas-at-dordrecht-1650,2,anger
aelbert-cuyp_the-maas-at-dordrecht-in-a-storm-1650,6,excitement
aelbert-cuyp_the-negro-page-1652,0,painting
aelbert-cuyp_the-passage-boat-1650,2,anger
aelbert-cuyp_ubbergen-castle-1655,2,anger
aelbert-cuyp_view-of-dordrecht-1655,7,fear
aelbert-cuyp_view-of-the-groote-kerk-in-dordrecht-from-the-river-maas,3,awe
afro_abstract-composition-1975,0,painting
afro_controcanto-1974,0,painting
afro_cronaca-autobiographia-1953,4,contentment
afro_feticcio,7,fear
afro_lunario-1974,3,awe
afro_santarossa-1974,0,painting
agnes-martin_aspiration-1960,1,amusement
agnes-martin_black-1,4,contentment
agnes-martin_desert-rain-1957,3,awe
agnes-martin_drops-1961,3,awe
agnes-martin_falling-blue-1963,3,awe
agnes-martin_grattitude-2001,3,awe
agnes-martin_happy-holiday-1999,3,awe
agnes-martin_happy-valley-1967,3,awe
agnes-martin_homage-to-greece-1959,3,awe
agnes-martin_i-love-life,3,awe
agnes-martin_leaves,3,awe
agnes-martin_loving-love,3,awe
agnes-martin_morning-star-1962,3,awe
agnes-martin_mountain-i-1966,3,awe
agnes-martin_night-sea-1963,3,awe
agnes-martin_on-a-clear-day-1-1973,3,awe
agnes-martin_on-a-clear-day-2-1973,3,awe
agnes-martin_petal-1964,0,painting
agnes-martin_praise-1976(1),3,awe
agnes-martin_rain-study-1960,3,awe
agnes-martin_red-bird-1964,3,awe
agnes-martin_starlight,3,awe
agnes-martin_stars-1963,3,awe
agnes-martin_the-desert-1965,3,awe
agnes-martin_the-harvest-1965,3,awe
agnes-martin_the-islands-1961(1),4,contentment
agnes-martin_the-islands-1979,3,awe
agnes-martin_the-peach-1964,3,awe
agnes-martin_the-tree-1964,1,amusement
agnes-martin_this-rain-1960,0,painting
agnes-martin_tremolo-1962,1,amusement
agnes-martin_untitled-0-1975,3,awe
agnes-martin_untitled-11-2002,3,awe
agnes-martin_untitled-13-1975,3,awe
agnes-martin_untitled-15-peace-1996,7,fear
agnes-martin_untitled-1977-1,3,awe
agnes-martin_untitled-1977-2,0,painting
agnes-martin_untitled-1977-3,3,awe
agnes-martin_untitled-2001,3,awe
agnes-martin_untitled-4-1989,3,awe
agnes-martin_untitled-6-1980,3,awe
agnes-martin_untitled-no-1-1981,3,awe
agnes-martin_untitled-number-5-1975,3,awe
agnes-martin_untitled-white-flower-1961,4,contentment
agnes-martin_white-flower-1960,6,excitement
agnes-martin_with-my-back-to-the-world-1997,1,amusement
agnolo-bronzino_a-portrait-of-giuliano-di-piero-de-medici,3,awe
agnolo-bronzino_adoration-of-the-cross-with-the-brazen-serpent,0,painting
agnolo-bronzino_allegorical-portrait-of-dante-1530,2,anger
agnolo-bronzino_allegory-of-happiness-1564,2,anger
agnolo-bronzino_altarpiece,2,anger
agnolo-bronzino_an-allegory-with-venus-and-cupid,2,anger
agnolo-bronzino_christ-in-limbo-1552,2,anger
agnolo-bronzino_cosimo-de-medici,6,excitement
agnolo-bronzino_deposition-from-the-cross-1545,0,painting
agnolo-bronzino_deposition-from-the-cross-1565,7,fear
agnolo-bronzino_don-garcia-de-medici,0,painting
agnolo-bronzino_eleonora-da-toledo,7,fear
agnolo-bronzino_eleonora-da-toledo-1543,2,anger
agnolo-bronzino_eleonora-da-toledo-1562,2,anger
agnolo-bronzino_francesco-i-de-medici-grand-duke-of-tuscany,3,awe
agnolo-bronzino_galatea-and-pygmalion,2,anger
agnolo-bronzino_garcia-de-medici,7,fear
agnolo-bronzino_holy-family-with-st-anne-and-the-infant-st-john-the-baptist-1550,3,awe
agnolo-bronzino_lucrezia-di-cosimo,7,fear
agnolo-bronzino_lucrezia-panciatichi-1540,3,awe
agnolo-bronzino_martyrdom-of-st-lawrence-1569,2,anger
agnolo-bronzino_moses-strikes-water-from-the-wall-rocks,7,fear
agnolo-bronzino_noli-me-tangere-1561,1,amusement
agnolo-bronzino_piero-de-medici-il-gottoso,0,painting
agnolo-bronzino_pietro-de-medici,3,awe
agnolo-bronzino_pietro-de-medici-1,0,painting
agnolo-bronzino_pope-leo-x,3,awe
agnolo-bronzino_portrait-of-a-girl-with-book-1545,2,anger
agnolo-bronzino_portrait-of-a-lady-in-green,2,anger
agnolo-bronzino_portrait-of-a-lady-with-a-puppy,3,awe
agnolo-bronzino_portrait-of-a-sculptor,2,anger
agnolo-bronzino_portrait-of-a-young-man-with-book,3,awe
agnolo-bronzino_portrait-of-andrea-doria-as-neptune,0,painting
agnolo-bronzino_portrait-of-bia-de-medici-1542,0,painting
agnolo-bronzino_portrait-of-cosimo-i-de-medici,2,anger
agnolo-bronzino_portrait-of-cosimo-i-de-medici-1,3,awe
agnolo-bronzino_portrait-of-cosimo-i-de-medici-1545,6,excitement
agnolo-bronzino_portrait-of-cosimo-i-de-medici-1545-1,6,excitement
agnolo-bronzino_portrait-of-cosimo-i-de-medici-as-orpheus,0,painting
agnolo-bronzino_portrait-of-eleonora-da-toledo,2,anger
agnolo-bronzino_portrait-of-ferdinando-de-medici,0,painting
